Time Period,period start date,Patient Count,HCP ID,HCP Name,HCO Id,HCO Name,HCP Segment,HCO Segment,Line of therapy,payer segment,channel,HCO Territory,HCO Region,HCO Area,HCO Nation,claims count,New Prescriber Flag,Source_of_business,drug name,class,switch_from,switch_from_class
M1,6/1/2026,195,10099,Kayla Gray,2585,Nova,Segment 3,Tier 4,3L+,Medicare,Retail,California_North,California,South,US,306,Y,Switch,BIMZLEX,IL-17A & IL-17F,ILUMYA,IL-23
M1,6/1/2026,391,10112,Ellie Cole,8806,Orion,Segment 4,Tier 2,3L+,Private,Retail,California_South,California,South,US,556,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,416,10175,Chloe Myers,7184,Vertex,Segment 1,Tier 1,2L,Commercial,Retail,Texas_North,Texas,North,US,563,N,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,396,10071,Isaac Fox,1064,Zenith,Segment 4,Tier 3,3L+,Medicare,Online,Texas_South,Texas,North,US,416,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,286,10066,Anthony Rodriguez,5893,Apollo,Segment 1,Tier 1,3L+,Commercial,Online,Florida_East,Florida,West,US,437,N,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,293,10038,Joshua Jackson,8629,Humira,Segment 1,Tier 3,3L+,Private,Online,Florida_West,Florida,West,US,364,N,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,266,10147,Kevin Hall,2685,Helix,Segment 1,Tier 3,2L,Commercial,Retail,California_North,California,North,US,349,N,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,419,10076,Matthew Anderson,1064,Zenith,Segment 1,Tier 2,2L,Medicaid,Online,NewYork_Metro,NewYork,East,US,605,N,Switch,Cosentyx,IL-17A,Tremfya,IL-23
M1,6/1/2026,143,10006,Victoria Baker,3747,Athena,Segment 2,Tier 4,3L+,Medicare,Hospital,Texas_South,Texas,South,US,351,N,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,385,10056,Victoria Barnes,5893,Apollo,Segment 4,Tier 2,2L,Commercial,Hospital,Texas_North,Texas,South,US,627,Y,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,50,10084,Lucy Ortiz,1064,Zenith,Segment 2,Tier 3,2L,Medicare,Online,NewYork_Upstate,NewYork,West,US,243,N,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,137,10012,Chloe Rivera,3747,Athena,Segment 1,Tier 2,3L+,Medicare,Hospital,Illinois_Central,Illinois,North,US,282,Y,Switch,Humira,TNF,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,398,10097,Daniel Pierce,2585,Nova,Segment 2,Tier 1,2L,Private,Hospital,Texas_North,Texas,South,US,452,Y,Switch,BIMZLEX,IL-17A & IL-17F,ILUMYA,IL-23
M1,6/1/2026,349,10039,Amelia Powell,8629,Humira,Segment 1,Tier 2,3L+,Private,Online,Georgia_Atlanta,Georgia,East,US,585,N,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,371,10081,Daniel Moore,1064,Zenith,Segment 3,Tier 4,2L,Commercial,Hospital,Ohio_Cleveland,Ohio,West,US,397,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,168,10019,Logan Schultz,8629,Humira,Segment 1,Tier 3,2L,Private,Online,Pennsylvania_West,Pennsylvania,North,US,267,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
